model,split,rmse,rmse_liquid,rmse_illiquid,mae,call_rmse,call_oob_pct,call_oob_spread_mean,n_rows,butterfly_pct,calendar_pct
bspline_learned_graph_interp,extrap_1,0.06521676251652476,0.049376975971222724,0.07827666246843347,0.03812432868753817,0.003090716983858239,93.15436613475177,6.627641328564471,100,0.1639998539258491,0.0175
bspline_learned_graph_interp,extrap_10,0.06913212731308646,0.04373239951667097,0.08797132633280735,0.03829404570403911,0.002748469864599292,93.2956560283688,6.091861009884712,100,0.14222890619197812,0.04727272727272727
bspline_learned_graph_interp,extrap_100,0.043759265110504014,0.020301209434582555,0.05887567227832071,0.02087681995462615,0.0022392722024847547,85.93195921985816,3.5625489708241016,100,0.6427782423975461,0.0
bspline_learned_graph_interp,extrap_2,0.06831318111764734,0.047417875663672907,0.0846366100749164,0.039581349531404145,0.0031076922916820258,93.49512411347517,6.831844137233347,100,0.04218833597217226,0.06799242424242424
bspline_learned_graph_interp,extrap_20,0.06493722233904929,0.03783057000094532,0.08421924003976139,0.03421992375744604,0.00251585228858891,92.02681737588652,5.255721115545156,100,0.18230126108069084,0.08659090909090911
bspline_learned_graph_interp,extrap_3,0.07086140511866695,0.05004393063903258,0.08729211353160517,0.040166730459197615,0.0029824651969788544,93.43971631205673,6.561626285226084,100,0.047303425486238754,0.04431818181818182
bspline_learned_graph_interp,extrap_5,0.06915804697897078,0.04627844642396976,0.08665814989320743,0.03885498822095158,0.0028921238072218618,93.11835106382979,6.29426612153717,100,0.0834029831205976,0.04818181818181819
bspline_learned_graph_interp,extrap_50,0.053423663821366624,0.026094927061230205,0.0713982548500403,0.026241512810100197,0.0023027840185974365,89.09851507092199,4.179462128221672,100,0.42282263673056825,0.0
bspline_learned_graph_interp,unif_1,0.06596502304114575,0.06097803697186401,0.07074587845582504,0.03991574703139306,0.003674825282140444,93.16821808510639,7.640008456472092,100,0.14035035339723861,0.6932575757575757
bspline_learned_graph_interp,unif_10,0.06732408919945437,0.0616870636163809,0.0726867133021512,0.043029523399226624,0.004142940614542067,93.10726950354609,9.628200835497456,100,0.0,0.38484848484848483
bspline_learned_graph_interp,unif_100,0.03240838375791939,0.02575306805034347,0.038078080297252515,0.017371676764243647,0.0017742997338878845,85.55241578014184,3.495916226262036,100,0.11027727938653274,0.011363636363636364
