model,split,rmse,rmse_liquid,rmse_illiquid,mae,call_rmse,call_oob_pct,call_oob_spread_mean,n_rows,butterfly_pct,calendar_pct
bspline_learned_graph_interp,extrap_100_excl,0.05313657226579603,0.055194625961116704,0.051576307146784336,0.027816184098278556,0.0034597262942435347,86.72698271579112,4.004854747570784,100,1.3288252806722405,0.0
bspline_learned_graph_interp,extrap_10_excl,0.05446425225865788,0.06028806600545994,0.04976569322204299,0.0282881218821745,0.0031912616502252278,86.51256439086892,3.8654665324941093,100,1.3776809259061844,0.0
bspline_learned_graph_interp,extrap_20_excl,0.0532154716894548,0.058109622950908914,0.04932163572176766,0.027772717489631712,0.003227125090764608,86.62500326857203,3.8554822338167543,100,1.2937036122818037,0.0
bspline_learned_graph_interp,extrap_2_excl,0.05576118722185916,0.06135714921201161,0.051274138672353815,0.028686945530908066,0.003174118172517539,86.46026723844886,3.86516367844634,100,1.3518219417136135,0.0
bspline_learned_graph_interp,extrap_300_excl,0.05316984129547441,0.055472204724671195,0.051417244531491615,0.02782994418991907,0.0034552935261165,86.76097586486416,3.982597972708328,100,1.3373700766270287,0.0
bspline_learned_graph_interp,extrap_500_excl,0.05316984129547434,0.055472204724671105,0.05141724453149156,0.027829944189919128,0.003455293526116531,86.76097586486416,3.9825979727083585,100,1.3373700766270287,0.0
bspline_learned_graph_interp,extrap_50_excl,0.052863417477801426,0.054965362132030474,0.05126841743628509,0.02762863057517934,0.003379841371687572,86.68253013623408,3.9439501576855207,100,1.1936296554192853,0.0
bspline_learned_graph_interp,extrap_5_excl,0.055281605096530094,0.061114307873820495,0.05058213831768283,0.02865872663508883,0.00317558034697834,86.63023298381403,3.882560027555295,100,1.3183932982097528,0.0
bspline_learned_graph_interp,unif_100_excl,0.050758229537232594,0.0546136868160591,0.04773563531575457,0.028521063695206565,0.003912526674679129,87.41207541249379,4.6510611164179005,100,1.2959077365625935,0.0
bspline_learned_graph_interp,unif_10_excl,0.05618543979945971,0.06330862280394331,0.05032947784817678,0.03000259811856856,0.0035870052957783036,86.66945584812908,4.325782891018043,100,1.5974649535954355,0.0
bspline_learned_graph_interp,unif_20_excl,0.05163999620527336,0.05835010535038134,0.04610689671349162,0.029151187591706585,0.004082564974430871,87.40161598200977,4.66335565349328,100,1.474971062466687,0.0
bspline_learned_graph_interp,unif_2_excl,0.05669625904566949,0.06314327938166996,0.051461588098758136,0.029951173615422825,0.0035191912089660013,86.47072666893288,4.217991575612169,100,1.4206991679516268,0.0
