model,day,split,sq,n,abs,sq_liquid,n_liquid,sq_illiquid,n_illiquid,call_sq,call_n,call_oob,call_oob_spread_sum,butterfly_pct,calendar_pct
prior,957,unif_2,12.24739124436114,367,63.24436676502228,6.111029021710448,171,6.136362222650693,196,0.6299259530639096,367,356,17526.940419327024,0.0,0.0
prior,957,unif_2_excl,12.24739124436114,367,63.24436676502228,6.111029021710448,171,6.136362222650693,196,0.6299259530639096,367,356,17526.940419327024,0.0,0.0
prior,957,extrap_2,6.295404877989403,367,31.7467749863863,1.78308173875717,171,4.512323139232234,196,0.027193947708462785,367,357,2893.470371996789,0.0,0.0
prior,957,extrap_2_excl,6.295404877989403,367,31.7467749863863,1.78308173875717,171,4.512323139232234,196,0.027193947708462785,367,357,2893.470371996789,0.0,0.0
prior,957,unif_4,29.603840446544844,367,67.78336152434349,27.134899336592866,171,2.468941109951969,196,0.09200094056004755,367,343,12780.939843672282,0.0,9.090909090909092
prior,957,unif_4_excl,29.603840446544844,367,67.78336152434349,27.134899336592866,171,2.468941109951969,196,0.09200094056004755,367,343,12780.939843672282,0.0,9.090909090909092
prior,957,extrap_4,4.022441006637257,367,23.760189309716225,0.938251967457914,171,3.0841890391793427,196,0.015105671301064397,367,340,2235.758185379752,0.0,0.0
prior,957,extrap_4_excl,4.022441006637257,367,23.760189309716225,0.938251967457914,171,3.0841890391793427,196,0.015105671301064397,367,340,2235.758185379752,0.0,0.0
prior,957,unif_8,4.504976129045861,367,24.928294360637665,2.0737741478525296,171,2.4312019811933316,196,0.008842552890920782,367,311,3250.3444810689825,0.0,18.181818181818183
prior,957,unif_8_excl,4.504976129045861,367,24.928294360637665,2.0737741478525296,171,2.4312019811933316,196,0.008842552890920782,367,311,3250.3444810689825,0.0,18.181818181818183
prior,957,extrap_8,4.209310628197677,367,24.208108961582184,1.0891035712822994,171,3.120207056915378,196,0.014475547753983378,367,334,2335.8185540862305,0.0,0.0
prior,957,extrap_8_excl,4.209310628197677,367,24.208108961582184,1.0891035712822994,171,3.120207056915378,196,0.014475547753983378,367,334,2335.8185540862305,0.0,0.0
prior,957,unif_10,5.156694005840561,367,24.939677596092224,1.6223746527632592,171,3.5343193530773016,196,0.007097247212527453,367,306,2111.648209659872,0.0,9.090909090909092
prior,957,unif_10_excl,5.156694005840561,367,24.939677596092224,1.6223746527632592,171,3.5343193530773016,196,0.007097247212527453,367,306,2111.648209659872,0.0,9.090909090909092
prior,957,extrap_10,3.475815992468286,367,24.33730237185955,1.2783591429624392,171,2.197456849505847,196,0.016483615007754658,367,332,2696.792249148201,0.0,9.090909090909092
prior,957,extrap_10_excl,3.475815992468286,367,24.33730237185955,1.2783591429624392,171,2.197456849505847,196,0.016483615007754658,367,332,2696.792249148201,0.0,9.090909090909092
prior,957,unif_20,4.128271542020897,367,23.70270824432373,1.3741667021566153,171,2.754104839864282,196,0.01109387948641027,367,312,2699.7336416909757,0.0,9.090909090909092
prior,957,unif_20_excl,4.128271542020897,367,23.70270824432373,1.3741667021566153,171,2.754104839864282,196,0.01109387948641027,367,312,2699.7336416909757,0.0,9.090909090909092
prior,957,extrap_20,3.6656971227168302,367,23.3220796585083,0.8648818410102086,171,2.800815281706621,196,0.015499122519783632,367,331,2308.586440557603,0.0,9.090909090909092
prior,957,extrap_20_excl,3.6656971227168302,367,23.3220796585083,0.8648818410102086,171,2.800815281706621,196,0.015499122519783632,367,331,2308.586440557603,0.0,9.090909090909092
prior,957,unif_40,1.857294133868724,367,15.406305611133575,0.6471072969511877,171,1.2101868369175364,196,0.0057679161207017104,367,299,1462.8430469051732,2.997275204359673,17.272727272727273
prior,957,unif_40_excl,1.857294133868724,367,15.406305611133575,0.6471072969511877,171,1.2101868369175364,196,0.0057679161207017104,367,299,1462.8430469051732,2.997275204359673,17.272727272727273
prior,957,extrap_40,3.2243348615099996,367,20.596289113163948,0.49928376927992635,171,2.7250510922300735,196,0.015009737914780516,367,315,2066.4937945751453,1.0899182561307903,4.7727272727272725
prior,957,extrap_40_excl,3.2243348615099996,367,20.596289113163948,0.49928376927992635,171,2.7250510922300735,196,0.015009737914780516,367,315,2066.4937945751453,1.0899182561307903,4.7727272727272725
prior,957,unif_80,1.5263611889175408,367,13.942154228687286,0.6472379783815168,171,0.879123210536024,196,0.0030062227068987134,367,280,1705.102384319231,3.8147138964577656,10.909090909090908
prior,957,unif_80_excl,1.5263611889175408,367,13.942154228687286,0.6472379783815168,171,0.879123210536024,196,0.0030062227068987134,367,280,1705.102384319231,3.8147138964577656,10.909090909090908
