model,day,split,sq,n,abs,sq_liquid,n_liquid,sq_illiquid,n_illiquid,butterfly_pct,calendar_pct
svi,4500,ctx_5,0.48167717282611316,400,11.298781944811346,0.059117227719005024,93,0.42255994510710815,307,0.0,0.0
svi,4500,ctx_10,0.4393553325163403,400,10.182102412184435,0.0674758413689868,93,0.37187949114735347,307,0.0,0.0
svi,4500,ctx_20,0.22752202365039342,400,6.09389999844649,0.05052903369189539,93,0.176992989958498,307,0.0,0.2857142857142857
svi,4500,ctx_50,0.03336757086363922,400,1.341066270634879,0.0007210620144993419,93,0.03264650884913988,307,0.0,0.9285714285714286
svi,4500,ctx_100,0.02178250631661012,400,1.056989114685385,0.003013437698633244,93,0.018769068617976874,307,0.0,0.5714285714285714
svi,4500,extrapolation,0.0915486663744689,307,3.4017763867149937,0.0,0,0.0915486663744689,307,0.0,1.5
svi,4501,ctx_5,0.5886606604477543,400,12.386822110414503,0.07313473108482285,89,0.5155259293629315,311,0.0,0.0
svi,4501,ctx_10,0.4790747568727143,400,10.380048181818633,0.04560711858083359,89,0.4334676382918807,311,0.0,0.0
svi,4501,ctx_20,0.34382263689651904,400,7.3889238303266715,0.024222045856453614,89,0.31960059104006544,311,0.0,0.0
svi,4501,ctx_50,0.06045372224496458,400,1.945973835090754,0.006422807897849369,89,0.054030914347115204,311,0.0,2.5806451612903225
svi,4501,ctx_100,0.03339258605352138,400,1.1059839926876776,0.0047250218211946264,89,0.028667564232326748,311,0.0,0.0
svi,4501,extrapolation,0.13669504164245452,311,4.369140024810354,0.0,0,0.13669504164245452,311,0.0,1.75
svi,4502,ctx_5,0.4293442986737005,400,9.978029635548593,0.04456608109068164,76,0.3847782175830189,324,0.0,0.0
svi,4502,ctx_10,0.3874288029807189,400,9.847944821417329,0.03696982442646535,76,0.35045897855425356,324,0.0,0.0
svi,4502,ctx_20,0.11195220437086875,400,3.6375186609979946,0.012984268116267662,76,0.09896793625460108,324,0.0,0.0
