model,split,rmse,rmse_liquid,rmse_illiquid,mae,call_rmse,call_oob_pct,call_oob_spread_mean,n_rows,butterfly_pct,calendar_pct
bspline_data,extrap_10,0.09012510736992707,0.06502539561248247,0.10604382289734905,0.05570211042768291,0.013273706578108955,86.60179158342463,12.740110776281627,10,1.212369558284958,3.781301753989762
bspline_data,extrap_100,0.024210901617583384,0.016518657274153855,0.02893790171013491,0.012922579189769051,0.0035779796177776682,56.98588644712251,6.957356154420384,10,1.4079536125738763,1.043558039747064
bspline_data,extrap_2,0.20947739003206617,0.18293649547403862,0.22854431322514887,0.15346359846737337,0.03646010579579003,96.25249726106851,27.054333069089047,10,0.866100363118445,0.05555555555555556
bspline_data,extrap_20,0.06862565172943948,0.04401470487034839,0.0832614915924058,0.0374477235595485,0.00790109380377276,78.10465940581298,9.450961012660459,10,0.9286457740776655,5.144738971695272
bspline_data,extrap_200,0.021647049728213984,0.014863031495672545,0.025830439987763763,0.011767622616930758,0.0035928630607575045,54.77218534510537,6.940818257586512,10,1.5739177803656152,0.5877521830773863
bspline_data,extrap_300,0.021647282104204496,0.014862561254205767,0.025831007859574137,0.0117672831222769,0.0035928752108929443,54.76574080041245,6.941217318436187,10,1.5644510716246876,0.5877521830773863
bspline_data,extrap_4,0.1739921005424305,0.14784211201314135,0.19241088769803064,0.11708167960545311,0.03007009341840456,93.69723529032674,22.67607732728406,10,2.1288767784677,0.4735772357723578
bspline_data,extrap_40,0.04261934266763983,0.02497989329911977,0.05265544635290044,0.0204020284110773,0.003767681196063605,65.7214667783721,7.439015529433421,10,1.1117339214970952,3.2088922764227648
bspline_data,extrap_500,0.02164728210420412,0.014862561254205764,0.02583100785957357,0.011767283122276938,0.0035928752108929556,54.76574080041245,6.941217318436259,10,1.5644510716246876,0.5877521830773863
bspline_data,extrap_8,0.09822831916882746,0.06995177505602591,0.11602691740392555,0.06277211793267787,0.013874983900840363,87.8681446155829,12.859883360704927,10,1.5795833175019136,2.385793059319482
bspline_data,extrap_80,0.026771510156063386,0.014167366914525047,0.03362276052894111,0.01369907514560849,0.003569981346900363,58.255461751627244,6.9220109845020446,10,1.3670349467670269,1.0579635275519421
bspline_data,unif_10,0.0995574597256211,0.07997622727288681,0.11283055728420535,0.06541348370916562,0.013964750592423256,87.71347554295289,13.71575659964549,10,1.147845293607115,3.7305310900331223
bspline_data,unif_100,0.021487463056763873,0.019467865892763784,0.02297908272127972,0.008002970560345437,0.0007608624517736701,36.07656119095186,2.958900017748349,10,0.6472220072224001,1.3585328214393253
