model,day,split,sq,n,abs,sq_liquid,n_liquid,sq_illiquid,n_illiquid,call_sq,call_n,call_oob,call_oob_spread_sum,butterfly_pct,calendar_pct
kalman_bspline_inc_nox,894,extrap_5,15.340797433801152,3133,142.72059865766556,1.7969261601982294,1357,13.543871273602921,1776,1.145196336272619,3133,2796,23306.356619278347,7.856914723730438,2.067901234567901
kalman_bspline_inc_nox,895,extrap_5,12.660791843473405,3063,125.80217059324784,0.9248303318891374,1359,11.735961511584268,1704,1.1023402793562909,3063,2507,22572.064827543865,8.591963410650115,2.59375
kalman_bspline_inc_nox,896,extrap_5,12.304374568375266,3041,123.01371425874864,1.0869497430953645,1351,11.217424825279902,1690,1.138046632512313,3041,2475,18232.937001730923,8.319631700098652,2.253086419753086
kalman_bspline_inc_nox,897,extrap_5,13.995998933032059,3070,128.29145206447768,0.8933158743715277,1348,13.102683058660531,1722,1.1954346863394936,3070,2574,19727.367433419968,7.722385141739981,2.1341463414634148
kalman_bspline_inc_nox,898,extrap_5,15.620415314834894,3062,134.9845172542619,0.7937883904529618,1281,14.826626924381934,1781,1.2016240986488846,3062,2692,22398.064588904872,8.491182233834095,1.798780487804878
kalman_bspline_inc_nox,899,extrap_5,19.63956290089003,3113,149.35940974073665,1.253573767545767,1487,18.38598913334426,1626,1.3709540548009846,3113,2828,25160.33513351268,9.219402505621586,2.225609756097561
kalman_bspline_inc_nox,800,unif_10,2.7516721449037043,2949,52.119216188031096,1.6936227636025551,1399,1.0580493813011493,1550,0.026728291688295144,2949,2562,17951.32314056487,3.4599728629579376,0.0
kalman_bspline_inc_nox,801,unif_10,2.2286743876131796,2968,49.36538592753877,1.099130650596984,1432,1.1295437370161954,1536,0.015091255540135545,2968,2631,17907.266394233797,2.998652291105121,0.0
kalman_bspline_inc_nox,802,unif_10,2.785312165458706,2959,52.28757867271904,1.2049369988727525,1419,1.5803751665859542,1540,0.01333964266736164,2959,2664,15776.96177274526,1.6227180527383367,0.0
kalman_bspline_inc_nox,803,unif_10,2.661735529342991,3064,56.649737992002535,1.516155767856921,1319,1.1455797614860699,1745,0.01677168392793507,3064,2746,22065.927364210605,3.91644908616188,0.0
kalman_bspline_inc_nox,804,unif_10,2.919210249046025,3061,56.48139805956304,1.2107288459112695,1311,1.7084814031347557,1750,0.049945992783358414,3061,2732,18803.634873820396,4.116301862136557,0.4941860465116279
kalman_bspline_inc_nox,805,unif_10,3.9640613205820734,3019,61.972010389353095,1.8982166326309424,1302,2.06584468795113,1717,0.035917486377008534,3019,2706,18891.60931640429,4.1459369817578775,0.11494252873563218
kalman_bspline_inc_nox,806,unif_10,5.1439121758568636,3063,69.89213811142604,2.447155277145669,1314,2.696756898711195,1749,0.044270829669715156,3063,2825,21741.855429162708,3.8901601830663615,0.08620689655172414
kalman_bspline_inc_nox,807,unif_10,5.225562630305072,3040,71.23303535031081,2.162811121497623,1284,3.0627515088074495,1756,0.05466451845267465,3040,2779,23576.39666561787,4.046052631578948,0.1744186046511628
kalman_bspline_inc_nox,808,unif_10,3.5481461587616514,3099,65.34357068594673,1.7531276738268105,1323,1.7950184849348407,1776,0.04514772833698728,3099,2759,22080.388292396477,4.133031966419115,0.20588235294117646
kalman_bspline_inc_nox,809,unif_10,3.7457448362666512,3120,68.3263089726328,1.95338923125574,1300,1.792355605010911,1820,0.03264186664225706,3120,2903,22566.724546550264,3.6538461538461537,0.2647058823529412
kalman_bspline_inc_nox,810,unif_10,4.125677867148311,3057,68.12764866592178,1.9118508688824791,1317,2.213826998265832,1740,0.03897930497889802,3057,2821,24255.967914835914,5.171849427168576,0.2616279069767442
