model,split,rmse,rmse_liquid,rmse_illiquid,mae,n_rows,butterfly_pct,calendar_pct
bspline_data,ctx_8,0.21483955827979967,0.19358423183295673,0.22033162408888612,0.18704497201637577,40,11.906871184856584,42.07028928461047
bspline_data,extrapolation,0.22033162408888612,nan,0.22033162408888612,0.19472912906877546,40,11.906871184856584,42.07028928461047
bspline_factored_graph,ctx_8,0.053129380149957044,0.05134397386883287,0.05361047756820223,0.04112895400739301,40,1.0618250192884546,13.497249074208128
bspline_factored_graph,extrapolation,0.05361047756820223,nan,0.05361047756820223,0.041399355562486376,40,1.0618250192884546,13.497249074208128
bspline_learned_graph,ctx_8,0.059928617198000356,0.05846737692848809,0.060324693309470885,0.046993758304110844,40,1.2803363848771057,22.433412775850808
bspline_learned_graph,extrapolation,0.060324693309470885,nan,0.060324693309470885,0.04727949396109765,40,1.2803363848771057,22.433412775850808
bspline_temporal,ctx_8,0.055276964497364585,0.05414696560760338,0.055584028291826994,0.04273734458881468,40,3.6006928046039035,22.737422325510117
bspline_temporal,extrapolation,0.055584028291826994,nan,0.055584028291826994,0.04301790539616942,40,3.6006928046039035,22.737422325510117
bspline_temporal_graph,ctx_8,0.05380242639094493,0.052006253834187034,0.05428649311426649,0.04150592022291043,40,1.2300445902926385,17.863900130250045
bspline_temporal_graph,extrapolation,0.05428649311426649,nan,0.05428649311426649,0.041849576836364706,40,1.2300445902926385,17.863900130250045
bspline_tiered_graph,ctx_8,0.05390547467959863,0.05250571953083738,0.05428450104199582,0.0417047869932141,40,1.9558235307349263,19.400806329679966
bspline_tiered_graph,extrapolation,0.05428450104199582,nan,0.05428450104199582,0.041979427977030956,40,1.9558235307349263,19.400806329679966
kalman,ctx_8,0.006758188429544746,0.004767125195685413,0.007210461189428151,0.004417886568668036,40,0.0706509125392277,0.20407803746498604
kalman,extrapolation,0.007210461189428151,nan,0.007210461189428151,0.004707495136390086,40,0.0706509125392277,0.20407803746498604
ssvi_temporal,ctx_8,0.032866854195155504,0.03148280449690474,0.03323777662715942,0.025542903686013696,40,0.0,0.11345174433409726
ssvi_temporal,extrapolation,0.03323777662715942,nan,0.03323777662715942,0.025656325302561556,40,0.0,0.11345174433409726
ssvi_temporal_graph,ctx_8,0.03777827751251029,0.036523825521552616,0.03811638978897497,0.02981176725407639,40,0.0,0.11517857142857142
ssvi_temporal_graph,extrapolation,0.03811638978897497,nan,0.03811638978897497,0.02995512774154193,40,0.0,0.11517857142857142
svi_temporal,ctx_8,0.03426469143760164,0.035753307015535564,0.03384337270908558,0.024782341877175824,40,0.0,14.75632035530488
svi_temporal,extrapolation,0.03384337270908558,nan,0.03384337270908558,0.024401610650611257,40,0.0,14.75632035530488
svi_temporal_graph,ctx_8,0.034071475645666136,0.03658511441511093,0.033346207224057824,0.026250780069057577,40,0.0,8.739141579927425
svi_temporal_graph,extrapolation,0.033346207224057824,nan,0.033346207224057824,0.025814800767742098,40,0.0,8.739141579927425
