model,day,split,sq,n,abs,sq_liquid,n_liquid,sq_illiquid,n_illiquid,butterfly_pct,calendar_pct
bspline_data,4500,ctx_8,10.969042833774452,400,58.14547513752291,1.4671578689620774,93,9.501884964812374,307,8.136482939632545,39.42857142857143
bspline_data,4500,extrapolation,9.501884964812374,307,48.66527386691871,0.0,0,9.501884964812374,307,8.136482939632545,39.42857142857143
bspline_data,4501,ctx_8,14.860524822267145,400,68.24247664489215,2.631761203376994,89,12.228763618890149,311,12.878787878787879,43.62903225806452
bspline_data,4501,extrapolation,12.228763618890149,311,55.28091559155031,0.0,0,12.228763618890149,311,12.878787878787879,43.62903225806452
bspline_data,4502,ctx_8,19.154057967646608,400,77.66581519980264,3.1974461810407298,76,15.956611786605881,324,15.064935064935066,44.53125
bspline_data,4502,extrapolation,15.956611786605881,324,64.12185913988557,0.0,0,15.956611786605881,324,15.064935064935066,44.53125
bspline_data,4503,ctx_8,15.52404845126473,400,70.13026250762834,3.162517472060624,86,12.361530979204103,314,12.207792207792208,40.859375
bspline_data,4503,extrapolation,12.361530979204103,314,55.393401396658035,0.0,0,12.361530979204103,314,12.207792207792208,40.859375
bspline_data,4504,ctx_8,15.686286560115857,400,71.46520994363453,3.9010617205022315,102,11.785224839613626,298,8.24742268041237,38.10606060606061
bspline_data,4504,extrapolation,11.785224839613626,298,54.076260640450144,0.0,0,11.785224839613626,298,8.24742268041237,38.10606060606061
bspline_data,4505,ctx_8,16.94937162254208,400,71.66223010437318,2.516363201023897,91,14.433008421518185,309,11.704834605597965,46.92857142857143
bspline_data,4505,extrapolation,14.433008421518185,309,59.677099940547826,0.0,0,14.433008421518185,309,11.704834605597965,46.92857142857143
bspline_data,4506,ctx_8,18.125360973925414,400,74.88840103110223,3.516675563895843,83,14.60868541002957,317,13.73056994818653,47.794117647058826
bspline_data,4506,extrapolation,14.60868541002957,317,59.993214231694,0.0,0,14.60868541002957,317,13.73056994818653,47.794117647058826
